job_title,required_skills,experience_level,industry,salary_usd
Machine Learning Engineer,"python, machine learning, pandas, numpy, scikit-learn, sql, statistics",entry,tech,85000
Data Scientist,"python, statistics, machine learning, pandas, numpy, sql, data visualization, matplotlib",entry,tech,82000
AI Engineer,"python, deep learning, pytorch, tensorflow, machine learning, numpy, sql",entry,tech,90000
Data Analyst,"excel, sql, python, data visualization, statistics, power bi",entry,finance,65000
ML Engineer,"python, scikit-learn, pandas, numpy, mlops, docker, git",entry,tech,88000
NLP Engineer,"python, nlp, spacy, nltk, machine learning, deep learning",entry,tech,87000
Business Analyst,"excel, sql, statistics, data visualization, power bi, communication",entry,consulting,60000
Computer Vision Engineer,"python, opencv, deep learning, pytorch, numpy",entry,tech,92000
AI Research Assistant,"python, machine learning, statistics, numpy, research",entry,education,70000
Junior Data Scientist,"python, pandas, numpy, machine learning, sql, statistics",entry,tech,75000
Data Engineer,"python, sql, etl, data pipelines, spark, hadoop",entry,tech,83000
MLOps Engineer,"python, docker, kubernetes, mlops, git, cloud computing",entry,tech,91000
BI Analyst,"sql, power bi, excel, data visualization, statistics",entry,finance,68000
AI Developer,"python, tensorflow, deep learning, machine learning, numpy",entry,tech,87000
Analytics Engineer,"sql, python, dbt, data modeling, etl",entry,tech,80000
Deep Learning Engineer,"python, pytorch, tensorflow, deep learning, numpy",entry,tech,95000
Research Intern AI,"python, statistics, machine learning, numpy",entry,education,60000
Junior ML Engineer,"python, scikit-learn, pandas, numpy, sql",entry,tech,78000
Data Science Intern,"python, pandas, numpy, statistics, machine learning",entry,tech,55000
AI Analyst,"python, sql, statistics, data visualization, machine learning",entry,tech,72000
